# Calipic icon small-size structure metrics -- draft v0 stand-in
# input: calipic-icon-v2-master.svg
# openness_*: 0 = gap fully closed (reads as mark colour), 1 = fully open (reads as field colour); max bilinear sample within +/-1 px of the gap centre, scanned along the stroke.
# strand_peak: strongest pixel change the negative-space strand causes, as a fraction of full mark/field contrast. strand_px: nominal strand width in px.
candidate	treatment	size_px	openness_top_gap	openness_bottom_gap	openness_left_gap	openness_right_opening	strand_peak	strand_mean_top5	strand_px	frame_stroke_px
A	T1	1024	1.00	1.00	1.00	1.00	n/a	n/a	0.00	72.00
A	T1	180	1.00	1.00	1.00	1.00	n/a	n/a	0.00	12.66
A	T1	120	1.00	1.00	1.00	1.00	n/a	n/a	0.00	8.44
A	T1	87	1.00	1.00	1.00	1.00	n/a	n/a	0.00	6.12
A	T1	80	1.00	1.00	1.00	1.00	n/a	n/a	0.00	5.62
A	T1	60	0.98	0.98	0.91	1.00	n/a	n/a	0.00	4.22
A	T1	58	0.99	0.99	0.94	1.00	n/a	n/a	0.00	4.08
A	T1	40	0.97	0.97	0.65	1.00	n/a	n/a	0.00	2.81
A	T1	29	0.71	0.71	0.95	1.00	n/a	n/a	0.00	2.04
A	T2	1024	1.00	1.00	1.00	1.00	n/a	n/a	0.00	72.00
A	T2	180	1.00	1.00	1.00	1.00	n/a	n/a	0.00	12.66
A	T2	120	1.00	1.00	1.00	1.00	n/a	n/a	0.00	8.44
A	T2	87	1.00	1.00	1.00	1.00	n/a	n/a	0.00	6.12
A	T2	80	1.00	1.00	1.00	1.00	n/a	n/a	0.00	5.62
A	T2	60	0.98	0.98	0.91	1.00	n/a	n/a	0.00	4.22
A	T2	58	0.99	0.99	0.94	1.00	n/a	n/a	0.00	4.08
A	T2	40	0.97	0.97	0.65	1.00	n/a	n/a	0.00	2.81
A	T2	29	0.71	0.71	0.95	1.00	n/a	n/a	0.00	2.04
A	T3	1024	1.00	1.00	1.00	1.00	n/a	n/a	0.00	72.00
A	T3	180	1.00	1.00	1.00	1.00	n/a	n/a	0.00	12.66
A	T3	120	1.00	1.00	1.00	1.00	n/a	n/a	0.00	8.44
A	T3	87	1.00	1.00	1.00	1.00	n/a	n/a	0.00	6.12
A	T3	80	1.00	1.00	1.00	1.00	n/a	n/a	0.00	5.62
A	T3	60	0.98	0.98	0.91	1.00	n/a	n/a	0.00	4.22
A	T3	58	0.99	0.99	0.93	1.00	n/a	n/a	0.00	4.08
A	T3	40	0.97	0.97	0.65	1.00	n/a	n/a	0.00	2.81
A	T3	29	0.71	0.71	0.95	1.00	n/a	n/a	0.00	2.04
B	T1	1024	1.00	1.00	1.00	1.00	n/a	n/a	0.00	72.00
B	T1	180	1.00	1.00	1.00	1.00	n/a	n/a	0.00	12.66
B	T1	120	1.00	1.00	1.00	1.00	n/a	n/a	0.00	8.44
B	T1	87	1.00	1.00	1.00	1.00	n/a	n/a	0.00	6.12
B	T1	80	1.00	1.00	1.00	1.00	n/a	n/a	0.00	5.62
B	T1	60	0.98	0.98	0.91	1.00	n/a	n/a	0.00	4.22
B	T1	58	0.99	0.99	0.94	1.00	n/a	n/a	0.00	4.08
B	T1	40	0.97	0.97	0.65	1.00	n/a	n/a	0.00	2.81
B	T1	29	0.71	0.71	0.94	1.00	n/a	n/a	0.00	2.04
B	T2	1024	1.00	1.00	1.00	1.00	n/a	n/a	0.00	72.00
B	T2	180	1.00	1.00	1.00	1.00	n/a	n/a	0.00	12.66
B	T2	120	1.00	1.00	1.00	1.00	n/a	n/a	0.00	8.44
B	T2	87	1.00	1.00	1.00	1.00	n/a	n/a	0.00	6.12
B	T2	80	1.00	1.00	1.00	1.00	n/a	n/a	0.00	5.62
B	T2	60	0.98	0.98	0.91	1.00	n/a	n/a	0.00	4.22
B	T2	58	0.99	0.99	0.94	1.00	n/a	n/a	0.00	4.08
B	T2	40	0.97	0.97	0.65	1.00	n/a	n/a	0.00	2.81
B	T2	29	0.71	0.71	0.95	1.00	n/a	n/a	0.00	2.04
B	T3	1024	1.00	1.00	1.00	1.00	n/a	n/a	0.00	72.00
B	T3	180	1.00	1.00	1.00	1.00	n/a	n/a	0.00	12.66
B	T3	120	1.00	1.00	1.00	1.00	n/a	n/a	0.00	8.44
B	T3	87	1.00	1.00	1.00	1.00	n/a	n/a	0.00	6.12
B	T3	80	1.00	1.00	1.00	1.00	n/a	n/a	0.00	5.62
B	T3	60	0.98	0.98	0.91	1.00	n/a	n/a	0.00	4.22
B	T3	58	0.99	0.99	0.93	1.00	n/a	n/a	0.00	4.08
B	T3	40	0.97	0.97	0.65	1.00	n/a	n/a	0.00	2.81
B	T3	29	0.71	0.71	0.95	1.00	n/a	n/a	0.00	2.04
C	T1	1024	1.00	1.00	1.00	1.00	n/a	n/a	0.00	72.00
C	T1	180	1.00	1.00	1.00	1.00	n/a	n/a	0.00	12.66
C	T1	120	1.00	1.00	1.00	1.00	n/a	n/a	0.00	8.44
C	T1	87	1.00	1.00	1.00	1.00	n/a	n/a	0.00	6.12
C	T1	80	1.00	1.00	1.00	1.00	n/a	n/a	0.00	5.62
C	T1	60	0.98	0.98	0.91	1.00	n/a	n/a	0.00	4.22
C	T1	58	0.99	0.99	0.94	1.00	n/a	n/a	0.00	4.08
C	T1	40	0.97	0.97	0.65	1.00	n/a	n/a	0.00	2.81
C	T1	29	0.71	0.71	0.95	1.00	n/a	n/a	0.00	2.04
C	T2	1024	1.00	1.00	1.00	1.00	n/a	n/a	0.00	72.00
C	T2	180	1.00	1.00	1.00	1.00	n/a	n/a	0.00	12.66
C	T2	120	1.00	1.00	1.00	1.00	n/a	n/a	0.00	8.44
C	T2	87	1.00	1.00	1.00	1.00	n/a	n/a	0.00	6.12
C	T2	80	1.00	1.00	1.00	1.00	n/a	n/a	0.00	5.62
C	T2	60	0.98	0.98	0.91	1.00	n/a	n/a	0.00	4.22
C	T2	58	0.99	0.99	0.94	1.00	n/a	n/a	0.00	4.08
C	T2	40	0.97	0.97	0.65	1.00	n/a	n/a	0.00	2.81
C	T2	29	0.71	0.71	0.95	1.00	n/a	n/a	0.00	2.04
C	T3	1024	1.00	1.00	1.00	1.00	n/a	n/a	0.00	72.00
C	T3	180	1.00	1.00	1.00	1.00	n/a	n/a	0.00	12.66
C	T3	120	1.00	1.00	1.00	1.00	n/a	n/a	0.00	8.44
C	T3	87	1.00	1.00	1.00	1.00	n/a	n/a	0.00	6.12
C	T3	80	1.00	1.00	1.00	1.00	n/a	n/a	0.00	5.62
C	T3	60	0.98	0.98	0.91	1.00	n/a	n/a	0.00	4.22
C	T3	58	0.99	0.99	0.94	1.00	n/a	n/a	0.00	4.08
C	T3	40	0.97	0.97	0.65	1.00	n/a	n/a	0.00	2.81
C	T3	29	0.71	0.71	0.94	1.00	n/a	n/a	0.00	2.04
D	T1	1024	1.00	1.00	1.00	1.00	n/a	n/a	0.00	72.00
D	T1	180	1.00	1.00	1.00	1.00	n/a	n/a	0.00	12.66
D	T1	120	1.00	1.00	1.00	1.00	n/a	n/a	0.00	8.44
D	T1	87	1.00	1.00	1.00	1.00	n/a	n/a	0.00	6.12
D	T1	80	1.00	1.00	1.00	1.00	n/a	n/a	0.00	5.62
D	T1	60	0.98	0.98	0.91	1.00	n/a	n/a	0.00	4.22
D	T1	58	0.99	0.99	0.94	1.00	n/a	n/a	0.00	4.08
D	T1	40	0.97	0.97	0.65	1.00	n/a	n/a	0.00	2.81
D	T1	29	0.71	0.71	0.95	1.00	n/a	n/a	0.00	2.04
D	T2	1024	1.00	1.00	1.00	1.00	n/a	n/a	0.00	72.00
D	T2	180	1.00	1.00	1.00	1.00	n/a	n/a	0.00	12.66
D	T2	120	1.00	1.00	1.00	1.00	n/a	n/a	0.00	8.44
D	T2	87	1.00	1.00	1.00	1.00	n/a	n/a	0.00	6.12
D	T2	80	1.00	1.00	1.00	1.00	n/a	n/a	0.00	5.62
D	T2	60	0.98	0.98	0.91	1.00	n/a	n/a	0.00	4.22
D	T2	58	0.99	0.99	0.94	1.00	n/a	n/a	0.00	4.08
D	T2	40	0.97	0.97	0.65	1.00	n/a	n/a	0.00	2.81
D	T2	29	0.71	0.71	0.95	1.00	n/a	n/a	0.00	2.04
D	T3	1024	1.00	1.00	1.00	1.00	n/a	n/a	0.00	72.00
D	T3	180	1.00	1.00	1.00	1.00	n/a	n/a	0.00	12.66
D	T3	120	1.00	1.00	1.00	1.00	n/a	n/a	0.00	8.44
D	T3	87	1.00	1.00	1.00	1.00	n/a	n/a	0.00	6.12
D	T3	80	1.00	1.00	1.00	1.00	n/a	n/a	0.00	5.62
