# Calipic icon small-size structure metrics -- draft v0 stand-in
# input: calipic-icon-v1-master.svg
# openness_*: 0 = gap fully closed (reads as mark colour), 1 = fully open (reads as field colour); max bilinear sample within +/-1 px of the gap centre, scanned along the stroke.
# strand_peak: strongest pixel change the negative-space strand causes, as a fraction of full mark/field contrast. strand_px: nominal strand width in px.
candidate	treatment	size_px	openness_top_gap	openness_bottom_gap	openness_left_gap	openness_right_opening	strand_peak	strand_mean_top5	strand_px	frame_stroke_px
C	T2	58	0.93	0.93	0.93	1.00	0.99	0.99	1.25	3.62
C	T2	40	0.75	0.75	0.75	1.00	0.84	0.84	0.86	2.50
C	T2	29	0.97	0.97	0.97	1.00	0.68	0.68	0.62	1.81
C	T3	1024	1.00	1.00	1.00	1.00	1.00	1.00	22.00	64.00
C	T3	180	1.00	1.00	1.00	1.00	1.00	1.00	3.87	11.25
C	T3	120	1.00	1.00	1.00	1.00	1.00	1.00	2.58	7.50
C	T3	87	1.00	1.00	1.00	1.00	1.00	1.00	1.87	5.44
C	T3	80	1.00	1.00	1.00	1.00	1.00	1.00	1.72	5.00
C	T3	60	0.92	0.92	0.92	1.00	0.99	0.99	1.29	3.75
C	T3	58	0.93	0.93	0.93	1.00	1.00	0.99	1.25	3.62
C	T3	40	0.75	0.75	0.75	1.00	0.84	0.84	0.86	2.50
C	T3	29	0.97	0.97	0.96	1.00	0.68	0.68	0.62	1.81
D	T1	1024	1.00	1.00	1.00	1.00	1.00	1.00	22.00	64.00
D	T1	180	1.00	1.00	1.00	1.00	1.00	1.00	3.87	11.25
D	T1	120	1.00	1.00	1.00	1.00	1.00	1.00	2.58	7.50
D	T1	87	1.00	1.00	1.00	1.00	1.00	1.00	1.87	5.44
D	T1	80	1.00	1.00	1.00	1.00	1.00	1.00	1.72	5.00
D	T1	60	0.92	0.92	0.92	1.00	0.99	0.99	1.29	3.75
D	T1	58	0.93	0.93	0.93	1.00	1.00	0.99	1.25	3.62
D	T1	40	0.75	0.75	0.75	1.00	0.84	0.84	0.86	2.50
D	T1	29	0.97	0.97	0.96	1.00	0.68	0.68	0.62	1.81
D	T2	1024	1.00	1.00	1.00	1.00	1.00	1.00	22.00	64.00
D	T2	180	1.00	1.00	1.00	1.00	1.00	1.00	3.87	11.25
D	T2	120	1.00	1.00	1.00	1.00	1.00	1.00	2.58	7.50
D	T2	87	1.00	1.00	1.00	1.00	1.00	1.00	1.87	5.44
D	T2	80	1.00	1.00	1.00	1.00	1.00	1.00	1.72	5.00
D	T2	60	0.92	0.92	0.92	1.00	0.99	0.99	1.29	3.75
D	T2	58	0.93	0.93	0.93	1.00	1.00	0.99	1.25	3.62
D	T2	40	0.75	0.75	0.75	1.00	0.84	0.84	0.86	2.50
D	T2	29	0.97	0.97	0.97	1.00	0.68	0.68	0.62	1.81
D	T3	1024	1.00	1.00	1.00	1.00	1.00	1.00	22.00	64.00
D	T3	180	1.00	1.00	1.00	1.00	1.00	1.00	3.87	11.25
D	T3	120	1.00	1.00	1.00	1.00	1.00	1.00	2.58	7.50
D	T3	87	1.00	1.00	1.00	1.00	1.00	1.00	1.87	5.44
D	T3	80	1.00	1.00	1.00	1.00	1.00	1.00	1.72	5.00
D	T3	60	0.92	0.92	0.92	1.00	0.99	0.99	1.29	3.75
D	T3	58	0.93	0.93	0.93	1.00	1.00	0.99	1.25	3.62
D	T3	40	0.75	0.75	0.75	1.00	0.84	0.84	0.86	2.50
D	T3	29	0.97	0.97	0.97	1.00	0.68	0.68	0.62	1.81
