# Calipic icon small-size structure metrics -- draft v0 stand-in
# input: calipic-icon-v1-master.svg
# openness_*: 0 = gap fully closed (reads as mark colour), 1 = fully open (reads as field colour); max bilinear sample within +/-1 px of the gap centre, scanned along the stroke.
# strand_peak: strongest pixel change the negative-space strand causes, as a fraction of full mark/field contrast. strand_px: nominal strand width in px.
candidate	treatment	size_px	openness_top_gap	openness_bottom_gap	openness_left_gap	openness_right_opening	strand_peak	strand_mean_top5	strand_px	frame_stroke_px
A	T1	1024	1.00	1.00	1.00	1.00	1.00	1.00	22.00	64.00
A	T1	180	1.00	1.00	1.00	1.00	1.00	1.00	3.87	11.25
A	T1	120	1.00	1.00	1.00	1.00	1.00	1.00	2.58	7.50
A	T1	87	1.00	1.00	1.00	1.00	1.00	1.00	1.87	5.44
A	T1	80	1.00	1.00	1.00	1.00	1.00	1.00	1.72	5.00
A	T1	60	0.92	0.92	0.92	1.00	0.99	0.99	1.29	3.75
A	T1	58	0.93	0.93	0.93	1.00	1.00	0.99	1.25	3.62
A	T1	40	0.75	0.75	0.75	1.00	0.84	0.84	0.86	2.50
A	T1	29	0.97	0.97	0.96	1.00	0.68	0.68	0.62	1.81
A	T2	1024	1.00	1.00	1.00	1.00	1.00	1.00	22.00	64.00
A	T2	180	1.00	1.00	1.00	1.00	1.00	1.00	3.87	11.25
A	T2	120	1.00	1.00	1.00	1.00	1.00	1.00	2.58	7.50
A	T2	87	1.00	1.00	1.00	1.00	1.00	1.00	1.87	5.44
A	T2	80	1.00	1.00	1.00	1.00	1.00	1.00	1.72	5.00
A	T2	60	0.92	0.92	0.92	1.00	0.99	0.99	1.29	3.75
A	T2	58	0.93	0.93	0.93	1.00	1.00	0.99	1.25	3.62
A	T2	40	0.75	0.75	0.75	1.00	0.84	0.84	0.86	2.50
A	T2	29	0.97	0.97	0.97	1.00	0.68	0.68	0.62	1.81
A	T3	1024	1.00	1.00	1.00	1.00	1.00	1.00	22.00	64.00
A	T3	180	1.00	1.00	1.00	1.00	1.00	1.00	3.87	11.25
A	T3	120	1.00	1.00	1.00	1.00	1.00	1.00	2.58	7.50
A	T3	87	1.00	1.00	1.00	1.00	1.00	1.00	1.87	5.44
A	T3	80	1.00	1.00	1.00	1.00	1.00	1.00	1.72	5.00
A	T3	60	0.92	0.92	0.92	1.00	0.99	0.99	1.29	3.75
A	T3	58	0.93	0.93	0.93	1.00	1.00	0.99	1.25	3.62
A	T3	40	0.75	0.75	0.75	1.00	0.84	0.84	0.86	2.50
A	T3	29	0.97	0.97	0.96	1.00	0.68	0.68	0.62	1.81
B	T1	1024	1.00	1.00	1.00	1.00	1.00	1.00	22.00	64.00
B	T1	180	1.00	1.00	1.00	1.00	1.00	1.00	3.87	11.25
B	T1	120	1.00	1.00	1.00	1.00	1.00	1.00	2.58	7.50
B	T1	87	1.00	1.00	1.00	1.00	1.00	1.00	1.87	5.44
B	T1	80	1.00	1.00	1.00	1.00	1.00	1.00	1.72	5.00
B	T1	60	0.92	0.92	0.92	1.00	0.99	0.99	1.29	3.75
B	T1	58	0.93	0.93	0.93	1.00	0.99	0.99	1.25	3.62
B	T1	40	0.75	0.75	0.75	1.00	0.84	0.84	0.86	2.50
B	T1	29	0.97	0.97	0.97	1.00	0.68	0.68	0.62	1.81
B	T2	1024	1.00	1.00	1.00	1.00	1.00	1.00	22.00	64.00
B	T2	180	1.00	1.00	1.00	1.00	1.00	1.00	3.87	11.25
B	T2	120	1.00	1.00	1.00	1.00	1.00	1.00	2.58	7.50
B	T2	87	1.00	1.00	1.00	1.00	1.00	1.00	1.87	5.44
B	T2	80	1.00	1.00	1.00	1.00	1.00	1.00	1.72	5.00
B	T2	60	0.92	0.92	0.92	1.00	0.99	0.99	1.29	3.75
B	T2	58	0.93	0.93	0.93	1.00	0.99	0.99	1.25	3.62
B	T2	40	0.75	0.75	0.75	1.00	0.84	0.84	0.86	2.50
B	T2	29	0.97	0.97	0.97	1.00	0.68	0.68	0.62	1.81
B	T3	1024	1.00	1.00	1.00	1.00	1.00	1.00	22.00	64.00
B	T3	180	1.00	1.00	1.00	1.00	1.00	1.00	3.87	11.25
B	T3	120	1.00	1.00	1.00	1.00	1.00	1.00	2.58	7.50
B	T3	87	1.00	1.00	1.00	1.00	1.00	1.00	1.87	5.44
B	T3	80	1.00	1.00	1.00	1.00	1.00	1.00	1.72	5.00
B	T3	60	0.92	0.92	0.92	1.00	0.99	0.99	1.29	3.75
B	T3	58	0.93	0.93	0.93	1.00	0.99	0.99	1.25	3.62
B	T3	40	0.75	0.75	0.75	1.00	0.84	0.84	0.86	2.50
B	T3	29	0.97	0.97	0.96	1.00	0.68	0.68	0.62	1.81
C	T1	1024	1.00	1.00	1.00	1.00	1.00	1.00	22.00	64.00
C	T1	180	1.00	1.00	1.00	1.00	1.00	1.00	3.87	11.25
C	T1	120	1.00	1.00	1.00	1.00	1.00	1.00	2.58	7.50
C	T1	87	1.00	1.00	1.00	1.00	1.00	1.00	1.87	5.44
C	T1	80	1.00	1.00	1.00	1.00	1.00	1.00	1.72	5.00
C	T1	60	0.92	0.92	0.92	1.00	0.99	0.99	1.29	3.75
C	T1	58	0.93	0.93	0.93	1.00	1.00	0.99	1.25	3.62
C	T1	40	0.75	0.75	0.75	1.00	0.84	0.84	0.86	2.50
C	T1	29	0.97	0.97	0.97	1.00	0.68	0.68	0.62	1.81
C	T2	1024	1.00	1.00	1.00	1.00	1.00	1.00	22.00	64.00
C	T2	180	1.00	1.00	1.00	1.00	1.00	1.00	3.87	11.25
C	T2	120	1.00	1.00	1.00	1.00	1.00	1.00	2.58	7.50
C	T2	87	1.00	1.00	1.00	1.00	1.00	1.00	1.87	5.44
C	T2	80	1.00	1.00	1.00	1.00	1.00	1.00	1.72	5.00
C	T2	60	0.92	0.92	0.92	1.00	0.99	0.99	1.29	3.75
